Feature,Importance
FS1_features_std,0.17808920069342285
PS2_features_std,0.1522342952614346
FS1_features_mean,0.11296380523456687
PS2_features_mean,0.0960357008443232
FS1_features_median,0.09260689409078937
FS1_features_q75,0.0762122856323786
PS2_features_rms,0.051710215622887606
FS1_features_q25,0.04906515695935763
FS1_features_rms,0.04763667894185462
PS2_features_q25,0.030100669466154185
PS2_features_q75,0.029702795750476053
FS1_features_max,0.025447882295671662
PS2_features_median,0.0247527289453928
FS1_features_range,0.017643277199942436
PS2_features_max,0.008096574824054391
PS2_features_range,0.007701838237293108
PS2_features_min,0.0
FS1_features_min,0.0
